level,pos,word,gloss,example
C2,adverb,emphatically,"in a forceful, definite way",The prime minister emphatically denied the allegations.
C2,adverb,erratically,in an irregular and unpredictable manner,The old car had been running erratically for weeks.
C2,adverb,fervently,with passionate intensity of feeling,She fervently believed in the power of education.
C2,adverb,flagrantly,in a shockingly open and obvious way,The company flagrantly violated safety regulations.
C2,adverb,ostensibly,apparently true but perhaps not actually,He was ostensibly on a business trip.
C2,adverb,vehemently,with strong and passionate intensity,She vehemently opposed the construction of the motorway.
C2,adverb,furtively,"in a secretive, stealthy manner",He glanced furtively at the sealed envelope.
C2,adverb,incessantly,continuing without pause or interruption,The phone rang incessantly throughout the morning.
C2,adverb,laconically,using very few words in reply,"'Perhaps,' he remarked laconically, and turned back to his newspaper."
C2,adverb,surreptitiously,in a secret and stealthy manner,She surreptitiously slipped the letter into her pocket.
C2,adverb,wryly,"in a dry, mocking, humorous way",He smiled wryly at the memory of his earlier optimism.
